anchor	addresses	kind	confidence	evidence	notes
manual_host_interface_circuit	service manual Section 2.2.9, Figure 2-57	parallel_interface_hardware	high	STROBE pulses pass through a low-pass filter (R32/C21) into the E01A05KA (6C) gate-array STRB terminal. STRB latches the parallel data and sets BUSY HIGH. The gate array PINT terminal requests a CPU interrupt through CPU pin 31 / INTI.	SLCTIN maps to CPU PB0, AUTOFEEDXT maps to CPU PB1, and INIT passes through a low-pass filter (R31/R34/C22) to the gate-array INIT terminal. BUSY output is the conjunction of hardware BUSY and software BUSY (Table 2-20 Note 3).
manual_table_2_20_rd_f000	service manual Table 2-20	gate_array_register_rd_f000	high	RD F000H reads the parallel interface data (DIN 7..0). Reading F000H automatically resets hardware BUSY (Note 1).	This is the register read by the parallel ISR at 0582h. The hardware BUSY auto-reset is what allows the next host byte to be accepted.
manual_table_2_20_f001	service manual Table 2-20	gate_array_register_f001	high	RD F001H reads parallel I/F signal status: bit 7 = internal/external ROM, bit 5 = STRB edge polarity, bit 4 = hardware BUSY, bit 3 = software BUSY, bit 2 = ACK, bit 1 = ERR, bit 0 = PE. WR F001H sets those signals. Power-on defaults: bit 7 = external ROM, bit 5 = positive edge, bit 4 = LOW (hardware BUSY off), bit 3 = HIGH (software BUSY active), bit 2 = HIGH (ACK deasserted), bit 1 = HIGH (ERR deasserted), bit 0 = LOW (PE off).	Note 2: F001H bit 5 selects whether hardware BUSY is activated by the rising or falling edge of STRB. Note 3: the final BUSY output to the host is the conjunction of hardware BUSY and software BUSY.
manual_table_2_20_rd_f003	service manual Table 2-20	gate_array_register_rd_f003	high	RD F003H reads the parallel interface data (DIN 7..0) without resetting hardware BUSY.	Distinct from RD F000H, which does reset hardware BUSY. The firmware carriage-control path uses WR F003H for a different purpose (carriage gate-array control bits through VV15).
manual_buffers	service manual Section 2.2.10	buffer_architecture	high	Five buffer types: input buffer (1K or 8K byte ring), line buffer (1392 bytes), image buffer (two lines at 360 DPI, 8856 bytes each), queue buffer (6068 bytes for paper feed), download buffer (6K bytes). Input buffer is fed by the INIT2 (parallel I/F) and INTSR (serial I/F) interrupt signals.	Image buffer is double-buffered: one line for data output, one for developing image data. Queue buffer controls paper feed via the INTEO interruption.
manual_data_flow	service manual Section 2.2.10.2, Figures 2-63/2-64	main_routine_data_flow	high	Main routine reads a character from the input buffer, classifies it as command or data. Commands go to command analysis/execution (which may access the download buffer). Data bytes obtain CG information for the line buffer; if the buffer fills or justification overflows 125%, an LF triggers PRINT OUT. The printing routine develops line buffer content into the image buffer using the CG ROM and download buffer, then starts carriage operation and head firing via SOFTI. Paper feed data goes to the queue buffer for INTEO-driven advance.	Figure 2-63 shows the main-loop flow; Figure 2-64 shows the print-output path.
interrupt_vector_inti	0x0010, 0x0060	interrupt_vector	high	0010h: JMP $0582. 0060h: JMP $0582. Both interrupt vector slots route to the parallel interface ISR.	The uPD7810 INTI interrupt is triggered by the gate-array PINT output when STRB latches a new byte.
interrupt_vector_intsr	0x0028	interrupt_vector	high	0028h: JMP $05E2. Routes to the serial interface ISR.	The uPD7810 INTSR interrupt fires when the serial receiver has a byte in RXB.
buffer_init	0x028C-0x02AB	buffer_pointer_initialization	high	028Ch: VV01 bit 4 selects buffer size; if set, VV09 gets bit 2 (8K flag). 0292h: EE20=EE22=8500h (write and read pointers both start at buffer base). 029Dh: VV09 bit 2 set -> VV08=1Fh (8K); clear -> VV08=04h (1K). 02A6h: VV07 = 85h + VV08 (wrap page = base page + buffer pages).	The buffer occupies external RAM from 8500h. With 1K (VV08=04h), wrap page is 89h, so the buffer spans 8500h-88FFh (1024 bytes). With 8K (VV08=1Fh), wrap page is A4h, so the buffer spans 8500h-A3FFh (7936 bytes).
parallel_isr_guard	0x0582-0x0585	isr_entry_guard	high	0582h: ONIW VV37,$70; skips the EI at 0585h if any of VV37 bits 70h are set. If the guard skips, the ISR falls through with interrupts still disabled into the main body at 0586h. If the guard does not skip, EI is executed and then the ISR continues.	VV37 bits 70h are the mechanism-active state flags. The guard prevents re-entrant ISR execution during print engine operation by masking INTI at 0586h.
parallel_isr_body	0x0586-0x05E1	parallel_interface_isr	high	0586h: masks MKL bit 3 to prevent re-entry. Saves VA, BC, HL. 058Ch: loads HL=F000h. 058Fh: reads F001 (HL+1), ORs bit 3 (software BUSY = active), writes back. 0595h: saves current F002 to B. 0598h: writes F002=C0h to select external RAM bank. 059Ch: reads F000 (HL+0), which auto-resets hardware BUSY. 059Dh: loads EE20 write pointer, stores byte, advances pointer. 05A2h: compares H against VV07; if match, wraps HL to 8500h. Stores updated EE20. 05ADh: increments EE1E pending count. 05B6h: restores F002 from B. 05BAh: compares pending-count high byte against VV08. If not full, falls through to ACK pulse at 05BFh. If full, sets VV09 bit 0 and exits.	The ACK pulse sequence at 05BFh-05D0h is: DI; read F001; clear bit 2 (ACK low); write; NOP; NOP; clear bit 3 (software BUSY low); write; NOP; set bit 2 (ACK high); write; EI. This generates the host-visible ACK pulse while momentarily clearing software BUSY to allow the next transfer.
parallel_isr_buffer_full	0x05DA-0x05E1	parallel_isr_overflow	high	05DAh: ORIW VV09,$01 sets the buffer-full flag. Then restores registers and returns via RETI at 05E1h without generating an ACK pulse.	When the buffer is full, the ISR does not clear software BUSY or pulse ACK, so the host sees continuous BUSY and no ACK.
serial_isr_body	0x05E2-0x0667	serial_interface_isr	high	05E2h: same VV37 mechanism guard as parallel ISR. 05E6h: masks MKH bit 1 (INTSR). Saves VA, BC, HL, EA. 05EDh: reads RXB. 05EFh: checks ER (serial error flag); if error, skips to exit at 0608h. 05F2h: checks VV09 bit 1 (serial overflow); if set, clears it and exits. 05FAh: checks VV0A bit 6; if clear, skips to exit (serial interface disabled). 05FFh: checks A for 00h (NUL); if NUL, skips to exit. 0603h: checks VV0A bit 3; if set, replaces byte with 2Ah (asterisk, parity-error substitution). 0608h: saves F002 to B, sets F002=C0h. Ring write/wrap/increment is identical to the parallel ISR (0612h-062Bh). 062Bh: sets F002=00h (not restoring saved value like parallel ISR). 0631h: compares pending against VV08. If not full, checks flow-control thresholds. If full, sets VV09 bit 1 (serial overflow) and calls 4EE2h (send XOFF).	The serial ISR buffer-full path at 0658h sets VV09 bit 1 and calls 4EE2h. The not-full path checks VV09 bit 2 (8K mode) to select a near-full threshold: 1BEFh for 8K or 00EFh for 1K. If pending exceeds the threshold, sets VV09 bit 0 and calls 4ECFh (set software BUSY + send XOFF).
consumer_blocking_loop	0x0A0B-0x0A3C	input_byte_consumer_wait	high	0A0Bh: loads EE1E pending count. 0A10h: if zero, enters wait loop. Wait loop checks VV36 bit 0 and VV:A9 bit 7 as guard conditions before re-polling. If EF91 (mechanism timer) is nonzero, calls 4E48h and checks panel via 4EEAh; ON LINE button (bit 2) calls 4F24h/1FE4h. If no button, calls 7A53h (out-of-range warning display helper).	The idle loop handles user interaction while waiting for input. This is what makes the printer responsive to panel buttons even when the host has stopped sending data.
