anchor	addresses	kind	confidence	evidence	notes
esc_k_l_y_z_entry	0x0BA9-0x0BB4	graphics_command_entry	high	ESC K/L/Y/Z use L1-overlaid MVI L values ($C4/$C5/$C6/$C7) to index VV:C4-C7 (reassignable mode storage). H=$EF, reads the mode byte from (HL), then falls through to the common path at $0BB6.	The default mode for each command is stored at VV:C4-C7 by ESC ? ($0B7Fh). Default values: K=0, L=1, Y=2, Z=3.
esc_star_entry	0x0BB5	graphics_command_entry	high	ESC * reads the mode byte directly from host via CALT ($0080), then falls through to $0BB6.	Unlike ESC K/L/Y/Z, ESC * takes the mode as a parameter, not from the reassignment table.
esc_question_reassign	0x0B7F-0x0BA8	graphics_mode_reassign	high	ESC ? reads two bytes (source command s, mode m) via CALT ($0084), masks both to 7 bits, validates the mode via $0D48, then stores m at VV:C4-C7 based on s matching $4B/$4C/$59/$5A (K/L/Y/Z).	Allows ESC K/L/Y/Z to select any valid graphics mode, not just their defaults.
graphics_mode_table	0x0D48-0x0D5C, 0x0D5D-0x0D7E	mode_validation_and_table	high	$0D48 searches a 10-entry table at $0D5D. Each entry is 3 bytes: mode number, B (column stride), A (mode flags). Returns carry clear if valid, B and A from the matched entry. 10 modes supported: 0, 1, 2, 3, 4, 6, 32, 33, 38, 39. Mode 40 (hex-density 360 dpi) is not in the table.	B goes to VV:C9 (image buffer column stride). A goes to VV:C3 (bit 7 = 24-pin mode). The user manual (page 6-8) documents the pin count and DPI for each mode.
mode_table_values	0x0D5D	mode_data	high	Mode 0: B=2 A=$00 (8-pin 60 dpi). Mode 1: B=2 A=$02 (8-pin 120 dpi). Mode 2: B=1 A=$00 (8-pin 120 dpi high-speed*). Mode 3: B=1 A=$02 (8-pin 240 dpi*). Mode 4: B=3 A=$02 (8-pin CRT-I 80 dpi). Mode 6: B=2 A=$01 (8-pin CRT-II 90 dpi). Mode 32: B=2 A=$80 (24-pin 60 dpi). Mode 33: B=2 A=$82 (24-pin 120 dpi). Mode 38: B=2 A=$81 (24-pin CRT-III 90 dpi). Mode 39: B=2 A=$83 (24-pin 180 dpi).	* = adjacent dots cannot be printed (user manual note). The firmware does NOT enforce the adjacent-dot restriction; it is a printhead mechanical/timing limitation. B=1 modes write to adjacent 3-byte column positions; B=2 modes skip every other position.
graphics_common_path	0x0BB6-0x0C7E	graphics_setup	high	$0BB6: validates mode via $0D48. Stores A to VV:C3 (mode flags), B to VV:C9 (column stride). Reads n1/n2 column count via CALT ($0084), masks to 13 bits ($1FFF max). Calls $105A for line setup. Splits column count into EE6E (columns remaining) and EE70 (overflow/page). Calls $28EF for image buffer setup if needed. Then enters the column read loop.	EE4E is set to $8000 for the image buffer write base. The column count is divided by VV:C9 at $0C45 for stride computation.
graphics_8pin_read	0x0C95-0x0CD0	8pin_to_24pin_expansion	high	Reads 1 byte from host via CALT ($0080). Expands each input bit into a 2-dot-high pair in the 24-pin column format: bit 7→C.$C0, bit 6→C.$18, bit 5→C.$03, bit 4→D.$60, bit 3→D.$0C, bit 2→D.$01+E.$80, bit 1→E.$30, bit 0→E.$06. Stores the 3 expanded bytes to VV:AB/AC/AD.	The 8-to-24 pin expansion places each input dot as a vertically-doubled pair, mapping 8 dots to 16 positions within the 24-pin column. The remaining 8 positions are left zero.
graphics_24pin_read	0x0CD1-0x0CD8	24pin_direct_read	high	Reads 3 bytes from host via three CALT ($0080) calls. Stores directly to VV:AB/AC/AD without expansion.	24-pin mode data is already in the correct 3-byte-per-column format for the printhead.
graphics_column_write	0x0CF6-0x0D04	image_buffer_write	high	Loads the 3 column bytes from $EFAB (VV:AB/AC/AD). ORs each byte with the current image buffer contents at EE66 via ORAX (HL) + STAX (HL+). The OR allows multiple graphics passes to overlay without clearing previous data.	EE66 advances by VV:C9 × 3 bytes per column ($0CEBh-$0CF2h: three EADD EA,A). For stride B=1: 3-byte advance (adjacent columns). For B=2: 6-byte advance (every other column).
graphics_loop	0x0C65-0x0C78	column_loop	high	Loads remaining count from EE6E. Calls CALT ($009E) for stride computation, CALT ($00A6) for position, CALT ($009C) → $1995 for position advance. Decrements EE6E. When exhausted, jumps to $0D31 (completion). Otherwise continues with VV:88=$08, calls $28EF for render-band setup.	The loop processes one column per iteration. For each column: read data from host, expand if 8-pin, OR into image buffer, advance position.
graphics_render_setup	0x28EF-0x2975	render_band_setup	high	Sets up image buffer base pointer EE66/EE64 from constants ($C70C or $A498 depending on VV:33.7). Clears the image buffer area via $049C. Saves VV:1F, sets VV:3A for graphics mode. Loops through CALT ($009A) → $1A4F to process line buffer entries.	The graphics path reuses the same render-band infrastructure as text rendering. At $2975, CALL $27D1 dispatches to the character render loop for any text characters interspersed with graphics.
