address	label	kind	confidence	notes
0x0000	vec_reset_to_boot	vector	high	Reset vector: DI; JMP 0x0180.
0x0004	vec_ei_reti_stub	vector	medium	Short EI; RETI stub.
0x0008	vec_irq_to_0978	vector	medium	Interrupt/vector stub to 0x0978.
0x0010	vec_irq_to_gate_f000_input_capture	vector	medium	Interrupt/vector stub to 0x0582; 0x0060 also jumps here.
0x0018	vec_irq_to_print_engine_dispatch	vector	medium	Interrupt/vector stub to 0x0668.
0x0028	vec_irq_to_rxb_receive	vector	medium	Interrupt/vector stub to 0x05E2.
0x0070	rom_signature_pbls	data	high	Bytes decode as ASCII-like PBLS signature at both 0x0070 and external-check address 0x4000.
0x0080	calt_table_or_fast_services	code	medium	Dense target area for CALT calls 0x80-0xBE; linear disassembly is not enough to name each entry yet.
0x0180	boot_reset_entry	code	high	Initializes SP/MM/V register page, clears RAM/windows, checks external PROM signature, then enters initialization.
0x0201	post_external_prom_boot_init	code	high	Boot continuation after optional external PROM check; calls mechanism and DIP/init helpers.
0x0210	startup_sample_gate_f000_status	code	medium	Boot reads F000 between F2/F1/NMI tests before deriving initial status and switch state.
0x021F	startup_decode_f003_status_bits	code	medium	Reads F003 and maps active-low bits into VV0A/VV0B startup status fields.
0x038B	init_runtime_state	code	high	Clears EE/EF state blocks, seeds print/page pointers, initializes mode variables.
0x045D	init_cpu_ports_timers_gate_array	code	high	Writes EOM, PA/PB/PC, MCC/MA/MB/MC, TMM/ETMM, F004, F005, F003.
0x049C	memclear_hl_bc	code	high	Stores 0x00 through memory using HL and BC loop.
0x04A4	probe_cg_ram_window_set	code	medium	Calls 0x04B8 with bank-like values 0x80,0x00,0x40 and stores feature flags.
0x04B8	probe_8000_window_bank	code	medium	Uses CALT 0x00B4 then probes 0x8000 window contents.
0x0501	probe_8000_window_pattern	code	medium	Writes/reads 0x8000 and scans window; likely RAM/CG/bank probe.
0x0572	checksum_8000_page	code	medium	Sums bytes starting at 0x8000.
0x0582	isr_gate_f000_input_capture_buffer	code	medium	Reads F000 through the gate-array register window, stores the byte into the EE20 input buffer, restores F002, RETI. Candidate parallel-port data path.
0x05E2	isr_rxb_host_receive_buffer	code	high	Reads CPU RXB, checks ER, stores received byte into the shared EE20 input buffer while temporarily changing F002.
0x0668	isr_print_engine_dispatch	code	medium	Large RETI routine dispatching on VV37/VV61 flags; calls motion/print helpers and updates timers.
0x07D0	paper_feed_pb2_release_delay_state	code	high	FE1 tail-exit state reached when VV37 has bit 0x10 set. Changes VV37 to 0x20, calls 0x540D, and for command feed releases PB2 high/hold because the 0x540D state selector falls through to EF60=00 and then 0x5498.
0x08D0	arm_head_f005_burst_output	code	medium	Writes F004=0xC0, sets alternate-register BC=F005 and DE/EA pointers from EF75/EF79, programs TM1/TMM, and re-enters print timer flow. Strong candidate head-fire burst setup.
0x0908	carriage_gate_array_tm_pulse	code	high	Writes MB=0x03 and pulses PC bit 7 low/high with delay slots. Service manual Figure 2-34 identifies CPU CO1/PC7 as the E01A05KA carriage gate-array TM input; FE1 calls this when VV62=0.
