command	handler	params	status	behavior	state_updates	evidence
ESC	0x695B	1 byte command selector	audited	Reads the next byte through the 7-bit command reader and dispatches through the ESC table at 0x699C.	No mode state change by itself. Pushes normal loop return through 0x6944 dispatch framework.	695B: CALT 0082; HL=699C; dispatch via 6944.
LF	0x2011	none	audited_partial	Clears the one-line double-wide bit, loads current line spacing from EF8B, converts it through 0x50EB, then enters the shared vertical advance path at 0x2048 and 0x256E. The pending distance can later reach 0x2864 and the timed scheduler at 0x5676. 0x50EB divides spacing by 2 and uses VV93 to compensate odd raw spacings on alternating lines.	VV24 &= 0xFE; HL = adjusted EF8B/2; A=1 on entry to 0x2048; shared path may update EE44/EE4C/EE48/EE4A/EE50/EE7A/EE86, EF40, EF11, and scheduler state.	2011: CALL 24D4; LHLD EF8B; CALL 50EB; A=1; JRE 2048. 256E stores EE7A/EE86; 2864 may store EF40 and CALL 5676.
CR	0x1FEE	none	audited_partial	Clears VV09 bit 3, then falls into the LF path. Any auto-return/advance behavior is therefore the same shared 0x2011/0x2048/0x256E path after the flag clear.	VV09 &= 0xF7; then LF-style advance state changes.	1FEE: ANIW VV09,0xF7; JR 2011.
FF	0x201F	none	audited_partial	Clears the one-line double-wide bit and enters a page/form advance path. If EF8D is nonzero, it derives the remaining page distance from EF8D minus EF91; otherwise it can drop into the service/page-load style routine at 0x51B9.	VV24 &= 0xFE; uses EF8D page length and EF91 current page offset; may call 51B9; otherwise joins 2048 with the computed remaining distance.	201F: CALL 24D4; A=3; LHLD EF8D; if needed LDED EF91 and DSUB; 203D JMP 51B9; otherwise 2048.
VT	0x1F69	none	audited_partial	Vertical tab. If vertical-tab tables are enabled, uses selected channel VV30, scales each nonzero table entry with that channel's stored line-spacing header, and feeds to the next target greater than current page offset EF91. If no table target is usable, an empty table falls to FF while an exhausted nonempty table falls to CR. Without enabled tables, it computes repeated default stops from VVBE and current line spacing until the next stop after EF91.	VVBC bit 3 selects custom vertical-tab table mode. Uses channel table at FF30 + 10h*VV30, channel spacing header via EFB2, page length EF8D, current page offset EF91, and shared feed path at 2048. May fall through to FF at 201F or CR at 1FEE.	1F69-1F98 handles default stops from VVBE and EF8B/2; 1F99-1FE3 scans selected FF30 channel table; 1FD2 calls 24D4 then jumps to 2048 with A=1.
BS	0x1040	none	audited_partial	Backspaces by the pending width in EE78 when present, clearing EE78 afterward; otherwise computes the current character width via 147C. The distance is negated with CALT 0094 and passed to the common horizontal move helper at 0E02.	May update EE4C and EE72 through 0E02/0E5B when the resulting move stays within margins. Uses VV23 bit 5 as part of width selection.	1040-1057: tests VV23.5 path, optionally loads/clears EE78, CALL 147C fallback, CALT 0094, JMP 0E02.
HT	0x0E7D	none	audited_partial	Horizontal tab. If custom horizontal tabs are enabled, scans FF00 until zero or a tab stop beyond the current margin-relative position, converts that stop with the saved EFBF geometry, bounds it against EE5E/EE5C, then moves by the delta through 0E02. If custom tabs are not enabled, computes repeated default tabs from VVBD and current character width until the next stop beyond the current position.	May update EE4C and EE72 through 0E02/0E5B. Explicit tabs live in FF00 with geometry EFBF; default interval comes from VVBD.	0E7D-0EC2 handles FF00 custom tabs under VVBC.7; 0EC3-0EE9 handles default tab stepping; both converge through 0E02 on success.
BEL	0x41C5	none	audited	Triggers the beeper/tone helper under DI/EI.	VV09 bit 6 is set before and after calling 0x4E9F with EA=0x04E1.	41C5: CALT 00B6; ORIW VV09,0x40; DI; EA=04E1; CALL 4E9F; ORIW VV09,0x40; EI; RET.
CAN	0x0F78	none	audited_partial	Cancels current line/render state and reinitializes output-window pointers. This interacts with the DIP SW2-5 input-buffer/download-buffer split: the manual says download/user font buffer use requires the 1 KB input-buffer setting, while the 8 KB input-buffer setting disables downloading.	Resets several EE46/EE48/EE4A/EE4C/EE52/EE54/EE56/EE58/EE72 slots via inline table at 0x0FD0; clears VV33/VV17/VVA9/VVAA-related state; sets EE46 to 8000h and EE74/EE76 to E982h/C70Bh in this path.	0F78 starts with CALT 00B6, clears flags, calls 24AD, sets EE74/EE76, sets EE46=8000h, then table-clears state at 0x0FC0. Manual: SW2-5 selects 8 KB vs 1 KB input buffer; download buffer is ignored in 8 KB mode.
DC3	0x4315	none	audited	Sets deselected/offline-style state.	VV09 &= 0xDF; VV09 |= 0x10.	4315: ANIW VV09,0xDF; ORIW VV09,0x10; RET.
SO	0x43B1	none	audited	Sets one-line double-wide mode and recalculates print state.	VV24 |= 0x01; then CALT 0x0092.	43B1: ORIW VV24,0x01; JR 43A5.
ESC SO	0x43B1	none	audited	Same handler as SO: sets one-line double-wide mode and recalculates print state.	VV24 |= 0x01; then CALT 0x0092.	ESC table points 0x0E to 43B1.
DC4	0x43B5	none	audited	Cancels one-line double-wide mode and recalculates print state.	VV24 &= 0xFE; then CALT 0x0092.	43B5: ANIW VV24,0xFE; JR 43A5.
SI	0x439E	none	audited	Sets condensed mode and recalculates print state.	VV22 |= 0x20; then CALT 0x0092.	439E: ORIW VV22,0x20; JR 43A5.
ESC SI	0x439E	none	audited	Same handler as SI: sets condensed mode and recalculates print state.	VV22 |= 0x20; then CALT 0x0092.	ESC table points 0x0F to 439E.
DC2	0x43A2	none	audited	Cancels condensed mode and recalculates print state.	VV22 &= 0xDF; then CALT 0x0092.	43A2: ANIW VV22,0xDF; CALT 0092; RET.
ESC SP n	0x0DE1	1 byte, 7-bit	audited	Stores intercharacter spacing parameter.	VV9D = n & 0x7F.	0DE1: CALT 0082; STAW VV9D; RET.
ESC ! n	0x0F42	1 byte	audited	Master-select bitfield. Clears existing affected style bits, then maps input bits to pitch/style flags and recalculates state.	Clears VV22.5, VV23 bits 7/5/1/0? via mask 0x5C, VV24 bits via mask 0xA4. Sets: n80->VV23.0; n40->VV24.3; n20->VV24.0/1; n10->VV24.6; n08->VV24.4; n04->VV22.5; n02->VV23.5; n01->VV23.1. Calls CALT 0092 and 7B52.	0F42-0F75.
ESC #	0x1423	none	audited	Sets MSB-control mask state to 0x00FF.	EE8F = 0x00FF.	1423: LXI HL,00FF; falls to SHLD EE8F.
ESC =	0x1426	none	audited	Sets MSB-control mask state to 0x007F.	EE8F = 0x007F.	1426: LXI HL,007F; falls to SHLD EE8F.
ESC >	0x1429	none	audited	Sets MSB-control mask state to 0x80FF.	EE8F = 0x80FF.	1429: LXI HL,80FF; SHLD EE8F.
ESC % n	0x112E	1 byte boolean	audited	Selects ROM/user-defined character set state. n=0 clears user-defined selection; nonzero also clears VV09 bit 2, then sets user-defined selection.	n=0: VV17 &= 0x7F. n!=0: VV09 &= 0xFB; VV17 |= 0x80. Both call CALT 0092.	112E-113C.
ESC & ...	0x113D	variable	audited_partial	Defines user-defined characters. Reads a leading byte, then reads first/last character range as a word; rejects if first > last or last >= 0x80. If definition is disabled by VV09 bit 2, it still consumes the full per-character data stream without writing. Otherwise it prepares user-character state and loops over each character, reading the attribute byte and width/data word before entering the record builder. Render/output effects are intentionally not followed here.	Uses VV09 bit 2 as define/consume-only gate; updates VV1A/VV1B/VVA6, EF18 user-char allocation pointer, and 0x8900/0x8B80 user-character records.	113D-1147 validates range; 114E-1168 consume-only path; 1169-11AF active define loop; 12CA-13B8 writes records; 13CC clears 0x8900 and sets EF18=8B80.
ESC : ...	0x11B0	3 bytes expected	audited_partial	User-defined character setup/copy command. Reads one 7-bit parameter and returns unless the accepted value causes the following RET to be skipped; accepted form reads two more bytes through the word reader and clears VV09 bit 2. Deeper copy/selection behavior is behind helper calls and not fully recovered from this entry alone.	VV09 &= 0xFB when the parameter sequence is accepted.	11B0: CALT 0082; EQI A,00; conditional RET; 11B4: CALT 0084; 11B5: ANIW VV09,0xFB; RET.
ESC * m n1 n2	0x0BB5	mode byte, 16-bit count, then data	audited_partial	Graphics front end. Reads mode m, validates it through the 0D5D mode table, returns before reading count/data if invalid, then reads count with H masked to 0x1F and rejects zero count. The audited boundary is setup of graphics state; the subsequent data/render loop is intentionally not followed here.	VVC3 = mode-derived flags OR 0x04; VVC9 = mode table B value; EE6E = count low 13 bits; EE70 = count high E0h bits shifted into H; VVAB/VVAC/VVAD hold masks for 8/24-pin expansion; VVA9/VV87 graphics state set after data loop entry.	0BB5 reads m; 0D48 validates table at 0D5D; 0BC6 reads count and masks H; 0BD7 stores EE6E; 0BDE stores EE70; 0C90-0CDA prepares masks/data loop.
ESC ? s m	0x0B7F	2 bytes	audited	Reassigns one of K/L/Y/Z graphics commands if s is K, L, Y, or Z. Stores replacement mode byte m into EFC4/EFC5/EFC6/EFC7 respectively.	EFC4 for K, EFC5 for L, EFC6 for Y, EFC7 for Z.	0B7F reads s/m; 0B8F-0BA7 chooses EF C4-C7 and stores B.
ESC K n1 n2	0x0BA9	16-bit count, then data	audited_partial	Single-density graphics front end. Loads reassigned mode byte from EFC4, then enters the common graphics setup path at 0BB6. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC4 may be changed by ESC ?.	0BA9 sets L=C4; 0BB1 loads EFC4; JR 0BB6.
ESC L n1 n2	0x0BAB	16-bit count, then data	audited_partial	Double-density graphics front end. Loads reassigned mode byte from EFC5, then enters common graphics setup. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC5 may be changed by ESC ?.	0BAB sets L=C5; common 0BB1/0BB6.
ESC Y n1 n2	0x0BAD	16-bit count, then data	audited_partial	High-speed double-density graphics front end. Loads reassigned mode byte from EFC6, then enters common graphics setup. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC6 may be changed by ESC ?.	0BAD sets L=C6; common 0BB1/0BB6.
ESC Z n1 n2	0x0BAF	16-bit count, then data	audited_partial	Quadruple-density graphics front end. Loads reassigned mode byte from EFC7, then enters common graphics setup. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC7 may be changed by ESC ?.	0BAF sets L=C7; common 0BB1/0BB6.
ESC - n	0x43B9	1 byte boolean	audited	Toggles underline. n=0 clears underline; nonzero sets underline.	VV23 bit 0 cleared/set.	43B9: CALT 0086; clear or set VV23.0.
ESC 0	0x41FC	none	audited	Sets line spacing raw value to 0x002D.	EF8B = 0x002D.	41FC: HL=002D; falls through 4219 SHLD EF8B.
ESC 2	0x41FF	none	audited	Sets line spacing raw value to 0x003C.	EF8B = 0x003C.	41FF: HL=003C; falls through 4219 SHLD EF8B.
