anchor	addresses	kind	confidence	evidence	notes
manual_head_specs	service manual pages 2-54..2-59	printhead_mechanical_spec	high	Manual describes a 24-solenoid 12x2 staggered dot-wire head, 24 VDC +/- 10% drive, 16 ohm +/- 10% coils at 25 C, 0.12 A typical current, 1.111 ms / 900 Hz solenoid drive frequency, and a 415..435 us driving pulse-width specification.	Figures 2-53..2-55 separately label the E05A02LA output / print-driving pulse-width curve, roughly 287 us at low voltage down to roughly 230 us at high voltage.
manual_pin_geometry	service manual Figures 1-2 and 5-3	head_pin_spacing_and_wire_assignment	high	Figure 5-3 is the clearest wire-number placement reference: as drawn, odd wires #1,#3,...,#23 are in the right column and even wires #2,#4,...,#24 are in the left column. Figure 1-2 supplies spacing: same-column pitch is 1/90 inch and the even column is staggered by 1/180 inch relative to the odd column.	Use data/lq500_3c_printhead_wire_map.tsv for the combined E05A02LA H-output, connector, wire-number, and odd/even column map.
manual_e05a02la_pin_map	service manual Appendix A Figure A-8, Figure A-9, Table A-7, Tables A-11/A-12	e05a02la_head_output_pin_map	high	Figure A-8 and Table A-7 map E05A02LA pins 1..8 to H1..H8, pins 13..20 to H9..H16, and pins 34..41 to H17..H24. Figure A-9 labels these as first, second, and third latch blocks. Tables A-11/A-12 cross-check the board connector mapping as CN5/CN6 HD pins; Table A-12 is split across the two page columns and continues through CN6 pin 15 / HD3.	This proves the latch block grouping and connector mapping. Intra-byte D0..D7-to-Hn bit order remains a candidate inferred from ordered signal names rather than a bit-by-bit drawing.
manual_e05a02la_ports	service manual Table 2-18	head_gate_array_interface	high	Table 2-18 identifies F004h as the command port and F005h as the data latch/counter port. F004 bit 7 selects ascending/descending latch order, bit 6 makes HPW valid, bit 5 resets the counter, and F005 latches one byte then increments the counter.	The gate array is three 8-bit latches for H1..H24; latched head data is inverted and output while HPW is low when HPW is valid.
init_head_gate_array	0x045D-0x0492	reset_initialization	high	045Dh writes EOM=09h, 046Bh writes PC=C4h, 0487h writes F004=20h, and 0490h-0492h writes three zero bytes to F005h.	F004=20h is counter reset with HPW invalid and ascending order.
scheduler_counter_reset	0x5681	head_gate_array_counter_reset	high	567Fh loads A=20h and 5681h writes it to F004h before the timed output scheduler continues.	Matches Table 2-18 counter reset with HPW invalid; this prepares the latch counter before the later HPW-valid command.
head_burst_arm_command	0x08D0-0x08DA	f004_command_select	high	08D0h sets BC=F004h. With VV61.0 clear, the L1-overlay selector leaves A=40h; with VV61.0 set, it selects A=C0h. 08DAh writes A to F004h.	40h is HPW-valid ascending order; C0h is HPW-valid descending order. This matches the direction used by the F005 burst ISR.
head_burst_pointer_setup	0x08DB-0x08F5	alternate_register_burst_state	medium	After writing F004h, 08DBh/08DCh enter alternate registers, set BC=F005h, and load alternate source/count state from EF75h/EF77h. 08EAh-08F5h reloads EF64h from EF79h, doubling it first when VV61.1 is set.	Do not trace past EF75h/EF77h into character generation in this mechanical document.
head_data_burst	0x0978-0x098A	f005_three_byte_latch_burst	high	The head ISR uses alternate BC, already set to F005h, and writes three bytes. If VV61.0 is clear it reads with DE+; if VV61.0 is set it reads with DE-.	The ROM emits exactly one three-byte packet per interrupt, matching the three 8-bit E05A02LA latch blocks.
hpw_timer_reload	0x098B-0x0999	etm0_hpw_timer_reload	medium	After the three F005 writes, 098Ch writes EOM=05h, 098Fh reads ECNT, 0991h loads EE3Ah, 0995h adds it, 0997h writes ETM0, and 0999h writes EOM=08h.	The traced ROM does not bit-bang PC6 after init; the manual identifies PC6 as HPW, so the firmware-visible pulse-width control is this ETM0/EOM sequence.
burst_count_and_tm1_cycle	0x099C-0x09BC	burst_count_and_next_cycle	medium	099Dh decrements the alternate EA counter and tests for zero. If nonzero, 09ACh-09BCh reloads TM1 from the cyclic EF7Eh..EF80h sequence and updates VV81. If zero, 09A2h-09ABh clears VV36.1 and VV85.7 and masks MKL bit 04h.	This is the interrupt-side continuation/termination of a head burst run.
hpw_width_update	0x06D7-0x06E9	cr0_to_ee3a_voltage_compensation	high	FE1-side code reads CR0, accepts the in-range values that reach 06DFh, uses HL=7219h plus raw CR0 to select the table byte, shifts it once, and stores BC to EE3Ah with SBCD.	Because the raw CR0 value is used as the index, the effective table bytes are at 72DBh..7306h for CR0 C2h..EDh.
hpw_width_table	0x72DB-0x7306	descending_voltage_compensation_table	high	ROM bytes are descending from ACh/AAh through 92h over the consumed range.	Higher CR0 selects lower table bytes, matching the manual voltage curve where higher drive voltage needs a shorter print-driving pulse width.
head_voltage_out_of_range	0x06D9-0x06F9	cr0_out_of_range_state_change	medium	CR0 values that fail the range checks branch to 06F9h instead of updating EE3Ah; that path masks FE1, sets VV6D.4, changes VV37 state, calls 540Dh, and advances the decel pointer.	Interpreted as a protective/abnormal timed-output transition; exact user-visible error state is not proven here.
