address,label,kind,confidence,notes
0x0000,vec_reset_to_boot,vector,high,"Reset vector: DI; JMP 0x0180."
0x0004,vec_ei_reti_stub,vector,medium,"Short EI; RETI stub."
0x0008,vec_irq_to_0978,vector,medium,"Interrupt/vector stub to 0x0978."
0x0010,vec_irq_to_gate_f000_input_capture,vector,medium,"Interrupt/vector stub to 0x0582; 0x0060 also jumps here."
0x0018,vec_irq_to_print_engine_dispatch,vector,medium,"Interrupt/vector stub to 0x0668."
0x0028,vec_irq_to_rxb_receive,vector,medium,"Interrupt/vector stub to 0x05E2."
0x0070,rom_signature_pbls,data,high,"Bytes decode as ASCII-like PBLS signature at both 0x0070 and external-check address 0x4000."
0x0080,calt_table_or_fast_services,code,medium,"Dense target area for CALT calls 0x80-0xBE; linear disassembly is not enough to name each entry yet."
0x0180,boot_reset_entry,code,high,"Initializes SP/MM/V register page, clears RAM/windows, checks external PROM signature, then enters initialization."
0x0201,post_external_prom_boot_init,code,high,"Boot continuation after optional external PROM check; calls mechanism and DIP/init helpers."
0x0210,startup_sample_gate_f000_status,code,medium,"Boot reads F000 between F2/F1/NMI tests before deriving initial status and switch state."
0x021F,startup_decode_f003_status_bits,code,medium,"Reads F003 and maps active-low bits into VV0A/VV0B startup status fields."
0x038B,init_runtime_state,code,high,"Clears EE/EF state blocks, seeds print/page pointers, initializes mode variables."
0x045D,init_cpu_ports_timers_gate_array,code,high,"Writes EOM, PA/PB/PC, MCC/MA/MB/MC, TMM/ETMM, F004, F005, F003."
0x049C,memclear_hl_bc,code,high,"Stores 0x00 through memory using HL and BC loop."
0x04A4,probe_cg_ram_window_set,code,medium,"Calls 0x04B8 with bank-like values 0x80,0x00,0x40 and stores feature flags."
0x04B8,probe_8000_window_bank,code,medium,"Uses CALT 0x00B4 then probes 0x8000 window contents."
0x0501,probe_8000_window_pattern,code,medium,"Writes/reads 0x8000 and scans window; likely RAM/CG/bank probe."
0x0572,checksum_8000_page,code,medium,"Sums bytes starting at 0x8000."
0x0582,isr_gate_f000_input_capture_buffer,code,medium,"Reads F000 through the gate-array register window, stores the byte into the EE20 input buffer, restores F002, RETI. Candidate parallel-port data path."
0x05E2,isr_rxb_host_receive_buffer,code,high,"Reads CPU RXB, checks ER, stores received byte into the shared EE20 input buffer while temporarily changing F002."
0x0668,isr_print_engine_dispatch,code,medium,"Large RETI routine dispatching on VV37/VV61 flags; calls motion/print helpers and updates timers."
0x0908,motion_step_dir_a,code,low,"Updates MB/PC and VV61/VV6C; paired with 0x093E path."
0x093E,motion_step_dir_b,code,low,"Calls 0x0953/0x095F, updates phase/output helpers 0x54A0/0x54C9/0x5538."
0x0953,shift_phase_left,code,medium,"Shifts VV16 right/left pair with 0x095F and updates PB phase bits via 0x096A."
0x095F,shift_phase_right,code,medium,"Companion to 0x0953; updates PB low phase bits from VV16."
0x0978,isr_timer_transfer_reload,code,medium,"Saves registers, moves three bytes DE<->BC depending VV61, loads ETM0 from ECNT plus EE3A."
0x0A0B,read_next_host_input_byte,code,high,"Blocking consumer for the EE20/EE22 input ring: waits for EE1E pending count, reads one byte from EE22 under F002=0xC0, advances EE22, decrements EE1E, and returns byte in A."
