anchor	addresses	kind	confidence	evidence	notes
render_band_entry	0x217C-0x218D	render_output_geometry	high	217Ch calls 1A24h to compare current position state. If no printable span remains, 2182h-2189h clears EF3B and EF3E and jumps to the common EF42 update at 23E4h.	This is the top of the geometry/output-template computation reached from 286Eh and 289Dh.
render_geometry_ltr	0x21D4-0x2254	render_output_geometry	medium	When VV87 bits 0+1 select the left-to-right path, 21EDh indexes by VV3A&07. 21F1h selects 730Fh table data, 21F7h indexes EE28 alignment correction, 2207h stores VV46, 2213h starts from EE66, and 2225h stores EF40.	EF40 is derived from EE66 + table/correction terms + 3*EFB0 - 1. This path uses render geometry tables 730Fh, 7341h, 737Bh, and 738Bh.
render_geometry_rtl	0x22D4-0x232B	render_output_geometry	medium	When the normal/right-to-left path is taken, 22D7h indexes by VV3A&07. 22DBh selects 7307h table data for VV46, 22E4h uses 7317h, 22EBh starts from EE64, and 22FCh stores EF40 after subtracting 3*EFB6.	This path uses render geometry tables 7307h, 7317h, 736Bh, and 735Bh. It is the sibling path to the left-to-right geometry computation.
output_span_bookkeeping	0x23C6-0x23E8	render_output_geometry	medium	23C6h loads EFB4, 23CBh loads EFB2, 23D2h stores EF44 = EFB4 - EFB2. 23D6h uses VV3A&03 to select one byte from the table at 23E9h, then CALT ($009E) scales it before 23E4h stores EF42.	Bytes at 23E9h are a dispatch/data table, not linear code. Current decoded bytes start 02 01 03 01 04 01 06 01; treat the table values as geometry scale selectors until the CALT ($009E) arithmetic is fully named.
immediate_output_schedule	0x2864-0x288D	scheduler_entry	high	2864h clears VV38.3, 2867h calls 1A24h, 286Eh calls 217Ch when printable span remains, 2871h-2882h handles pending EE7A vertical motion, and 288Ah calls 5676h if VV36.0 indicates output is active.	This is the immediate scheduler path that copies EF38..EF46 through 5676h. It is shared with paper-feed scheduling when EE7A is nonzero.
deferred_output_schedule	0x289D-0x28C3	scheduler_entry	high	289Dh calls 217Ch again, then 28A0h/28A3h update surrounding state. 28AAh can call 5676h again after VV36/VV37/VV85 busy-state checks. 28BAh can call 28CEh to queue the current template.	This is the traced source of repeated print-output scheduling. Do not reduce it to "second pass = same glyph shifted" without following EF38..EF46 field changes.
template_queue_write	0x28CE-0x28EE	scheduler_queue	high	28CEh waits until VV82 != 04h, increments VV82, computes FFB0h + 15*VV83, copies 15 bytes from EF38..EF46 into that slot, then increments/wraps VV83 at five slots.	The copied template later reaches live state through 08AAh-08C3h and 5679h. This queue is the trace-backed inter-run handoff.
template_live_copy	0x5676-0x567E	scheduler_state	high	5676h sets HL=EF38 and falls into 5679h, which copies 15 bytes to EF6D..EF7B. The copied byte at source+2 becomes VV6F.	External callers at 288Ah and 28AAh copy the current render-output template into the live scheduler. VV6F later controls count halving and carriage timing record selection.
head_source_count_setup	0x563C-0x5662	head_burst_setup	high	563Ch clears/sets VV6D flags, ORs VV6F with 04h, loads EF64, halves it at 5650h only when VV6F.1 is set, stores the result to EF79, and saves alternate-register DE and HL-derived values into EF75 and EF77.	This proves multi-pass count scaling and source/count capture. It does not identify the logical image-buffer phase of the captured source.
head_burst_arm	0x08D0-0x08F5	head_burst_setup	high	08D0h writes F004=40h or C0h according to VV61.0. 08DBh-08E8h loads alternate DE from EF75/EF77. 08EAh-08F5h reloads EF64 from EF79, doubling it first when VV61.1 is set.	The head ISR consumes this alternate-register state; direction affects both F004 command and DE increment/decrement order.
head_burst_stream	0x0978-0x09C1	head_burst_output	high	0978h enters alternate registers and emits exactly three F005 bytes per interrupt. With VV61.0 clear it reads DE+; with VV61.0 set it reads DE-. 099Dh decrements the burst counter, 09ACh-09BCh cycles TM1 timing, and 09A2h-09ABh terminates the burst.	The output stream is contiguous in the chosen direction from the captured source pointer. Any LQ pass-phase model must explain how EF75/EF77 point at the intended stream.
unresolved_lq_second_pass_phase	0x217C/0x28AA/0x28CE/0x563C/0x0978	open_trace_item	high	The trace proves 360-DPI LQ glyph columns, render-output geometry setup, repeated/queued scheduler templates, count halving for VV6F.1, and contiguous three-byte head bursts. It does not yet prove that the second LQ pass blindly replays the same logical columns shifted by one dot.	Next trace target: decode EF38..EF46 field meanings across successive 217Ch calls and through 563Ch's EF75/EF77 capture, using ROM state rather than PDF visual approximation.
